序號,提案名稱,主提案人,所有提案人,進度,首次排入院會日期.x,會期,提案編號,no,pdf
101,立法院職權行使法增訂第八條之一及第八條之二條文草案,陳明文等,陳明文  邱議瑩  高志鵬  蘇震清,1010316   一讀(委員會待審),1010316,08屆01期04次,23委12982,1010307070200700,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\01\04\LCEWA01_080104_00014.pdf
102,立法院職權行使法增訂第七十五條之一條文草案,黃淑英等,黃淑英  管碧玲,0981225   一讀(委員會待審),0981225,07屆04期15次,23委9450,0981217070200200,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcbcecacfcbc5ccc7c7d2ccc6cf
103,立法院職權行使法第四十四條條文修正草案,高志鵬等,高志鵬  蘇震清  余天  邱議瑩  陳啟昱,0981023   一讀(委員會待審),0981023,07屆04期06次,23委9235,0981009070200900,https://lis.ly.gov.tw/lylgmeetc/lgmeetkm?001E8D0C000403010000000000010C800100003D000000000^IMG_lgmeetimage_0^cfc8cfcbcfc9c8cdc5cec6d2cdcf
104,立法院職權行使法第七十一條之一條文修正草案,賴士葆等,賴士葆  費鴻泰  羅淑蕾,0981023   一讀(委員會待審),0980515,07屆03期13次,23委9017,0980506070200600,https://lis.ly.gov.tw/lylgmeetc/lgmeetkm?004F6F2900160D010000000000030C800100003D000000000^IMG_lgmeetimage_0^cfc8cfccceccc8cdc5ceccc8d2cecbcf
105,立法院職權行使法第七十一條之一條文修正草案,孫大千,孫大千,0980320   一讀(委員會待審),0980320,07屆03期05次,23委8813,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcccfcac8cdc5c9ced2c9cd
106,立法院職權行使法第四十二條及第四十四條條文修正草案,呂學樟等,呂學樟  江義雄  劉盛良,0990518   三讀,0980106,07屆02期16次,23委8705,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcdcec9c8cdc5caced2cacb
107,立法院職權行使法第四十四條條文修正草案,蔣孝嚴等,蔣孝嚴  費鴻泰,0990518   三讀,0971205,07屆02期12次,23委8585,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcdcecdcfcbc5cdc6ced2cdc6cc
108,立法院職權行使法部分條文修正草案,黃義交等,黃義交  謝國樑  張嘉郡  劉盛良  李乙廷  江義雄,0980108   委員會,0971128,07屆02期11次,23委8559,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcdcecec8cdc5cdc6d2cbcb
109,立法院職權行使法第六十條條文修正草案,賴士葆,賴士葆,0971128   一讀(委員會待審),0971128,07屆02期11次,23委8566,0971120070200700,https://lis.ly.gov.tw/lylgmeetc/lgmeetkm?004F6F2900100A010000000000020C800100003D000000000^IMG_lgmeetimage_0^cfc8cfcdcecec8cdc5cbcad2cbc7
110,立法院職權行使法部分條文修正草案,朱鳳芝等,朱鳳芝  謝國樑  張碩文,0980108   委員會,0971121,07屆02期10次,23委8545,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcdcecfc8cdc5cecfcad2cecdcd
111,立法院職權行使法部分條文修正草案,張嘉郡,張嘉郡,0980108   委員會,0970716,07屆01期19次,23委8323,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcecec6c8cdc5c7ced2c6c9
112,立法院職權行使法增訂第二十六條之一條文草案,呂學樟等,呂學樟  張碩文,0970606   一讀(委員會待審),0970606,07屆01期14次,23委8208,0970602070200300,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcececbc8cdc5ceccccd2ceccc9
113,立法院職權行使法第七十一條條文修正草案,吳育昇等,吳育昇  江義雄,0970523   一讀(委員會待審),0970523,07屆01期12次,23委8153,0970515070200300,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcececdc8cdc5cecdcad2cecdc9
114,立法院職權行使法第三十條及第三十一條條文修正草案,呂學樟等,呂學樟  張嘉郡  潘維剛,1001214   二讀(廣泛討論),0970516,07屆01期11次,23委8123,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcececec8cdc5cececed2cececb
115,立法院職權行使法第二十五條及第二十六條條文修正草案,張顯耀等,張顯耀  費鴻泰  陳秀卿,0970516   一讀(委員會待審),0970516,07屆01期11次,23委8131,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcececec8cdc5cececad2cecec7
116,立法院職權行使法第二十六條條文修正草案,黃義交,黃義交,0970602   委員會,0970509,07屆01期10次,23委8096,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcececfc8cdc5cec8ccd2cec8c9
117,立法院職權行使法第二十九條、第三十條及第三十一條條文修正草案,吳志揚,吳志揚,1001214   二讀(廣泛討論),0970502,07屆01期09次,23委8010,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcecfc6c8cdc5cad2c7
118,立法院職權行使法部分條文修正草案,民進黨黨團等,民進黨黨團  柯建銘  賴清德  葉宜津,0970612   退回程序,0970425,07屆01期08次,23委7850,0970310070201200,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcecfc7c8cdc5cbc8d2cacf
119,立法院職權行使法第七十條條文修正草案,吳清池,吳清池,0990518   三讀,0970422,07屆01期07次,23委7933,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcecfc8c8cdc5cec7ccd2cec7cb
120,立法院職權行使法第七十條條文修正草案,賴清德,賴清德,0970422   一讀(委員會待審),0970422,07屆01期07次,23委7955,0970407070200400,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcecfc8c8cdc5cec7cad2cec7c9
121,立法院職權行使法增訂部分條文草案,呂學樟等,呂學樟  江義雄,0970509   三讀,0970422,07屆01期07次,23委7953,0970407070200300,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcecfc8c8cdc5cec7c8d2cec6cf
122,立法院職權行使法第七十一條之一條文修正草案,謝國樑,謝國樑,0970408   一讀(委員會待審),0970408,07屆01期06次,23委7898,0970327070200400,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcecfc9c8cdc5cececcd2cececb
